key,en
LOAD_R_COMPUTE_SCRIPT_LABEL,Load R 'compute' script
LOAD_R_COMPUTE_SCRIPT_PROGRESS_LABEL,Prepare R script...
LOGBOOK_VALIDATION_FILEINPUT_LABEL_TITLE,Import a logbook data file
LOGBOOK_VALIDATION_MESSAGE,"Error has occured during upload, Please check the logbook i.e (column names, trip_#'s) and upload again!"
LOGBOOKS_EXPORT_TITLE,Export Logbooks
LOGBOOKS_OVERVIEW_SUBTITLE,Based on logbooks monitoring
LOGBOOKS_OVERVIEW_TITLE,Overview of industrial fishing activities
LOGBOOKS_TRIPS_TITLE,Trips overview
LOGBOOKS_VALIDATION_TITLE,Validate Logbooks
MAP_POPUP_LANDINGSITE_LABEL,Landing site
MAP_POPUP_QUANTITY_LABEL,Quantity
MAP_TABPANEL_TITLE,Map
MEDIAN,Median
MESSAGE_NO_DATA,(no data available)
MODAL_NO_COLUMN,Missing columns
MODAL_NO_COLUMN_MESSAGE,The following required columns are missing:
MODAL_NO_EXCEL,Invalid file
MODAL_NO_EXCEL_MESSAGE,The uploaded file is not an Excel (.xlsx or .xls).
MODAL_NO_SHEET,Missing sheet
MODAL_NO_SHEET_MESSAGE,"The Excel file does not contain the sheet 'upload table'.
 Sheets found: "
MODAL_OPTION_CHECK,Add cell-level highlights & comments (slower)
MODAL_OPTION_GENERATE,Generate report
MODAL_OPTION_TEXT,This may significantly increase processing time for large files.
MODAL_OPTION_TITLE,Report options
MODE_SELECTOR_LABEL,Mode :
MONTHLY,Monthly
NO_ISSUES_DETECTED,No issues detected in this dataset
NO_TRIP_MSG,No trip to display for this vessel
NONE,None
NUMBER_BLOCKING_ISSUES,Number of blocking issue(s)
NUMBER_NON_BLOCKING_ISSUES,Number of non-blocking issue(s)
NUMBER_REFERENTIAL_INSPECT,Number of referential(s) to inspect
NUMBER_REFERENTIAL_UPDATE,Number of referential(s) to update
NUMBER_REFERENTIAL_UPTODATE,All referentials used in this dataset are up-to-date
OBSERVER_LIST_BIOLOGICAL_PRESENT,Biological sampling
OBSERVER_LIST_DAYS_AT_SEA,Days at sea
OBSERVER_LIST_DISEMBARKATION_PORT,Disembarkation port
OBSERVER_LIST_EMBARKATION_END,Disembarkation date
OBSERVER_LIST_EMBARKATION_PORT,Embarkation port
OBSERVER_LIST_EMBARKATION_START,Embarkation date
OBSERVER_LIST_LOGBOOK_LINKED,Logbook linked
OBSERVER_LIST_MISSING,Missing value
OBSERVER_LIST_NB_FISHING_OPERATIONS,Fishing operations
OBSERVER_LIST_NO,No
OBSERVER_LIST_OBSERVER_NAME,Observer name
OBSERVER_LIST_REPORT_ID,Report ID
OBSERVER_LIST_TITLE,Observer Program - Reports List
OBSERVER_LIST_TOTAL_CATCH,Total catch
OBSERVER_LIST_TOTAL_DISCARD,Total discard
OBSERVER_LIST_UNKNOWN,Unknown
OBSERVER_LIST_VESSEL_NAME,Vessel name
OBSERVER_LIST_YES,Yes
OBSERVER_OVERVIEW_AVERAGE_CATCH_OBSERVED,Average catch observed
OBSERVER_OVERVIEW_AVERAGE_CATCH_REPORTED,Average catch reported
OBSERVER_OVERVIEW_EVOLUTION_FROM_LAST_YEAR,vs previous year
OBSERVER_OVERVIEW_EVOLUTION_NO_CHANGE,No change
OBSERVER_OVERVIEW_LAST_REPORT,Last report
OBSERVER_OVERVIEW_NB_OBSERVERS,Number of observers
OBSERVER_OVERVIEW_NB_REPORTS,Number of reports
OBSERVER_OVERVIEW_NB_VESSELS,Number of vessels
OBSERVER_OVERVIEW_NO_DATA,No data
OBSERVER_OVERVIEW_OBSERVATION_PERIOD,Observation period
OBSERVER_OVERVIEW_OBSERVED_DAYS,Observed days
OBSERVER_OVERVIEW_PLOT_NODATE_DISCLAMER,No date associated to a report to produce a graphical view
